"timestamp","genero","edad","procedencia","eleccion_estudio","carrera_simultanea","cambio_carrera","becado","excelencia_academica","promedio_graduacion","trabajo_y_estudio","clases_por_periodo","tiempo_graduacion","rendimiento_docente","calidad_contenido","tecnologias_unah","tecnologias_autodidacta","actividades_extracurriculares","areas_no_favoritas","areas_favoritas","preparacion_practica","portafolio","conocimientos_ayudaron","anio_graduacion","mes_graduacion","trabajo_por_carrera","gustar_practica","ofrecieron_trabajo_practica","trabajo_practica","tecnologias_mercado_laboral","actualizacion_tecnologias","trabajo_actual","trabajo_ingeniero_sistemas","meses_desempleado","trabajo_area_preferencia","trabajo_pre_graduacion","nivel_ingles","nivel_programacion","nivel_redes","nivel_servidores","nivel_disenio","nivel_admin","lider_proyectos","nivel_proactividad","nivel_autodidacta","expositor","negociador","lider","introvertido","competitivo","irritabilidad"
"2020/04/09 6:47:31 PM CDT","Hombre",23,"Tegucigalpa","No","No","Sí","No","No",77,"No",4,5,"El 60% eran buenos dando la clase","Sí","Las básicas","Las mas específicas","Sí","Electrónica","Programación","Sí","Sobrio","Sí",2020,2,"Sí","Sí","Sí","Si","Desarrollo","Sí","Sí","Sí",0,"Sí","Sí",3,3,2,2,4,3,"Sí",5,"Sí","Si","Sí","No","No","Sí","No"
"2020/04/09 8:03:21 PM CDT","Hombre",27,"Tegucigalpa","Sí","No","No","No","Sí",82,"Sí",4,7,"El 70% eran buenos dando la clase","Sí","Las suficientes.","Varias, las herramientas dependen del proyecto que se desarrolle.","Sí","Redes","Programación;Electrónica;Administración","Sí","Muy bien, lo considero así gracias a la experiencia profesional. Ya había trabajado entonces ya sabía cómo era el asunto. 
Sin embargo, daré una opinión: 
Considero que la práctica profesional es innecesaria para estudiantes que tienen más de dos años de experiencia laboral y han sido contratados en más de dos compañías. (Más de dos compañías porque hay personas que sólo han trabajado en una empresa y muchas veces no saben trabajar con gente de distinta cultura).","No",2020,2,"Sí","Sí","Sí","Si","Las herramientas dependen del proyecto. 
Sin embargo, considero importante el hecho de manejar cloud services de cualquier proveedor. 
También manejar Frameworks de Javascript (React, Angular, Vue) y liberías Javascript (como lodash, peg.js, moment, etc.). 
Por otra parte, considero muy importante saber crear servidores con API's REST y comprender la arquitectura SOAP. (Node.js, GO Lang, Java)
Las herramientas para crear Apps móviles también están muy de moda y es un mercado sostenible. (Xcode para iOS, Android Studio para Android)
Las PWA también son un concepto importante, hacen que el proyecto sea escalable.
Una cosa bien importante que tienen que entender los profesionales de la Ingeniería en Sistemas es aprender a buscar documentación oficial (sí, de la mano quien hizo la herramienta), y saber leerla. Por ejemplo, las sintaxis de las sentencias SQL en Oracle Database, SQL Server o SAP HANA están en notación de expresiones regulares y he visto algunos colegas quedar confundidos o no saberlo interpretar. (Lo siento, lo tenía que decir)","Sí","Sí","Sí",0,"Sí","Sí",3,4,3,4,4,5,"Sí",5,"Sí","Si","Sí","Sí","No","No","No"
"2020/04/09 8:44:13 PM CDT","Hombre",38,"Tegucigalpa","Sí","No","No","No","Sí",83,"Sí",4,7,"El 90% eran buenos dando la clase","Sí","Herramientas de desarrollo Netbeans, eclipse, visual estudio2012 , visual estudio code, lesguajes de programacion JAVA, C#, C++, PHP, NODEJS, Frameworks como Boostrap para CSS, Jquery. ORACLE, Mysql, HTML, CSS, ","CRISTAL REPORTS, LISP, STARUML, SQL SERVER, REACT, PACKET TRACER","No","Programación","Redes;Electrónica;Administración","Sí","CON LO BASICO","No",2020,2,"Sí","Sí","No","No","JAVA, .NET Y  DESARROLLO WEB","Sí","No","",2,"No","No",2,3,3,1,1,3,"Sí",5,"Sí","Si","Sí","Sí","No","Sí","No"
"2020/04/10 3:53:50 AM CDT","Hombre",25,"Tegucigalpa ","Sí","No","No","No","Sí",80,"No",4,7,"El 40%  o menos eran buenos dando la clase","No","Desarrollo web y de escritorio, metodologías agiles, bases de datos,  entre otros","Frameworks de programación (laravel, angular), arquitectura MVC, desarrollo web con java, etc","Sí","Redes","Programación;Administración","Sí","Bien, los certificados de cursos externos ayudaron mucho","Sí",2020,2,"No","Sí","Sí","Si","Desarrollo web y movil con el uso de frameworks actuales, metodologías ágiles, inteligencia artificial y bigdata","Sí","Sí","Sí",0,"Sí","Sí",3,4,2,1,5,4,"Sí",4,"Sí","No","Sí","Sí","Sí","Sí","No"
"2020/04/10 5:50:49 PM CDT","Mujer",23,"La Esperanza, Intibucá","Sí","No","No","No","Sí",81,"No",4,6,"El 70% eran buenos dando la clase","No","Programación en Python y programación web con Node Js, Javascript, css, herramientas de organización para la implementación de metodologías ágiles, diseño y normalización de diagramas de bases de datos, gestores de base de datos, buenas practicas en el diseño de sistemas, conocimientos básicos de estándares y normas internacionales de seguridad informática y para la gestión de proyectos, entre otros.","Programación en PHP, herramientas o plugins que mejoran la experiencia del usuario, simuladores de redes y circuitos.","Sí","Electrónica","Redes;Administración","Sí","Mi portafolio no era muy grande, describía mis conocimientos y experiencia que había obtenido en la implementación de proyectos de la universidad, a pesar de no ser tan extenso cumplía con los requisitos para el puesto al que deseaba aplicar.","Sí",NA,NA,"No","Sí","Sí","Si","Los conocimientos en programación orientado a objetos, manejo y diseño de base de datos,   diseño de sistemas, manejo de herramientas de diseño, presentaciones visuales, herramientas ofimáticas, entre otras, que te ayuden a compartir y exponer tu trabajo de una forma mas profesional y que capte la atención de los usuarios. Tratar en la medida de lo posible conocer las tendencias actuales y conocer cuales se pueden adoptar para aumentar la productividad y eficiencia de los sistemas.","Sí","Sí","Sí",0,"Sí","Sí",3,3,2,2,3,3,"No",3,"No","No","No","Sí","No","Sí","No"
"2020/04/12 10:55:14 AM CDT","Mujer",30,"Tegucigalpa","Sí","No","No","No","No",78,"Sí",4,9,"El 70% eran buenos dando la clase","No","Programación web ","RPG ","No","Electrónica;Administración","Programación;Redes","No","Regular ","Sí",2020,2,"Sí","Sí","No","No","Desarrollo de Software ","Sí","Sí","Sí",0,"Sí","Sí",4,3,4,3,3,4,"Sí",4,"Sí","Si","Sí","Sí","Sí","Sí","No"
"2020/04/12 2:30:27 PM CDT","Hombre",27,"Olancho","Sí","No","No","No","No",79,"No",4,7,"El 70% eran buenos dando la clase","Sí","Java, C#, C++, PHP, HTML, Ensamblador, MySQL, SQL Server, PostgreSQL, Ionic, ","Complemente las tecnologías aprendidas en la Universidad.","No","Administración","Programación;Redes;Electrónica","Sí","Bien","No",2019,3,"No","Sí","No","No","JavaScript, SQL Server","Sí","Sí","Sí",2,"Sí","No",3,3,3,3,3,3,"Sí",5,"Sí","Si","Sí","Sí","No","Sí","Sí"
"2020/04/12 2:35:34 PM CDT","Hombre",29,"Tegucigalpa","Sí","No","No","No","No",74,"Sí",4,10,"El 60% eran buenos dando la clase","No","Ionic2, Windows server r12","As400, webex, CCNA.","Sí","Programación","Redes;Electrónica;Administración","No","Bastante mal.","Sí",2019,9,"Sí","No","No","No","Inteligencia de negocios, análisis de datos.","Sí","Sí","Sí",0,"Sí","Sí",3,3,4,3,2,4,"Sí",4,"Sí","Si","Sí","Sí","No","Sí","Sí"
"2020/04/12 2:38:06 PM CDT","Hombre",28,"Intibucá","Sí","No","Sí","No","No",75,"No",4,8,"El 50% eran buenos dando la clase","Sí","Java ","Php","No","Administración","Programación;Electrónica","No","Regular","No",2019,4,"Sí","No","No","No","Herramientas de programación","Sí","Sí","Sí",6,"Sí","No",3,3,2,3,4,3,"No",3,"No","No","Sí","No","Sí","Sí","No"
"2020/04/12 2:42:58 PM CDT","Mujer",31,"Tegucigalpa ","Sí","No","No","No","No",77,"Sí",3,9,"El 40%  o menos eran buenos dando la clase","Sí","Lenguajes de programación ","Otros lenguajes de programación","Sí","Redes","Programación;Administración","Sí","No entiendo la pregunta. Mi currículo tenía mucha experiencia adquirida fuera de la universidad. De trabajos anteriores","Sí",2019,3,"Sí","Sí","Sí","Si","Desarrollo de aplicaciones móviles y web","Sí","Sí","Sí",1,"Sí","Sí",3,4,2,2,4,3,"Sí",4,"Sí","Si","Sí","No","Sí","No","Sí"
